iter	Passed	Remaining
909	1598	158
910	1599	156
911	1601	154
912	1603	152
913	1604	150
914	1606	149
915	1608	147
916	1610	145
917	1611	143
918	1613	142
919	1614	140
920	1616	138
921	1617	136
922	1619	135
923	1621	133
924	1622	131
925	1624	129
926	1625	128
927	1627	126
928	1628	124
929	1630	122
930	1631	120
931	1633	119
932	1635	117
933	1637	115
934	1638	113
935	1640	112
936	1641	110
937	1643	108
938	1644	106
939	1646	105
940	1648	103
941	1650	101
942	1652	99
943	1654	98
944	1656	96
945	1657	94
946	1659	92
947	1661	91
948	1663	89
949	1665	87
950	1667	85
951	1669	84
952	1671	82
953	1673	80
954	1675	78
955	1677	77
956	1680	75
957	1681	73
958	1683	71
959	1685	70
960	1687	68
961	1688	66
962	1690	64
963	1692	63
964	1694	61
965	1696	59
966	1697	57
967	1699	56
968	1701	54
969	1703	52
970	1705	50
971	1707	49
972	1708	47
973	1710	45
974	1712	43
975	1718	42
976	1720	40
977	1722	38
978	1724	36
979	1726	35
980	1727	33
981	1729	31
982	1731	29
983	1732	28
984	1734	26
985	1735	24
986	1737	22
987	1739	21
988	1741	19
989	1742	17
990	1744	15
991	1745	14
992	1747	12
993	1749	10
994	1751	8
995	1753	7
996	1755	5
997	1756	3
998	1758	1
999	1760	0
